,Title,Price,MRP,link
0,"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD)
                    FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365
                    Basic(1yr)* Office24, Silver,1.59kg, fd0577TU, Iris Xe, FHD
                    Camera w/Shutter Laptop","55,990","72,112",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDk4MTcyMzg4MjYyNzI4OjE3NTE3OTIyMTg6c3BfYXRmOjMwMDU1OTY2MTEwNTgzMjo6MDo6&url=%2FHP-i5-1335U-Anti-Glare-Micro-Edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1SRYYZVB0V5DC%26dib%3DeyJ2IjoiMSJ9.JKFtIipyheq5FafwyKT3dhCNm7ee7e_m5eMfAR0I5va-9-xZ71gvZN50TdphoIbeLBc63kWHBZ5L39_ZRSev_Si4gcvwl5vWFM1JrgjPHS41X5XaVSbNkXbETLGLa0TDFjB7kCvDyvx9rPf3C9OhYl5e9J78FtUR7_x2cPGooUzoEAIv7f3VLuHibc5Rnf4WgDEkPAnFmTQoD-g6PC0ytesx8N5iV5CHk-po1WFeqTY.x3FznVR8gSrwDIWgEGZOh34Twr6cbNBLSerkJzS_b4g%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751792218%26sprefix%3Dlaptop%252Caps%252C205%26sr%3D8-1-spons%26xpid%3DHcM-_OC8u0A4U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&cr=DUB
1,"ell Inspiron 3535, AMD Ryzen 5-7530U, 16 GB RAM, 512 GB SSD, FHD IPS 15.6""/39.62 cm, 120Hz, Windows 11, MS Office 2024, Platinum Silver, 1.67 kg, Thin & Light Lapto","42,840","58,465",https://www.amazon.in/Dell-Inspiron-5-7530U-Windows-Platinum/dp/B0DSFRQTGB/ref=sr_1_6?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.JKFtIipyheq5FafwyKT3dhCNm7ee7e_m5eMfAR0I5va-9-xZ71gvZN50TdphoIbeLBc63kWHBZ5L39_ZRSev_Si4gcvwl5vWFM1JrgjPHS41X5XaVSbNkXbETLGLa0TDFjB7kCvDyvx9rPf3C9OhYl5e9J78FtUR7_x2cPGooUzoEAIv7f3VLuHibc5Rnf4WgDEkPAnFmTQoD-g6PC0ytesx8N5iV5CHk-po1WFeqTY.x3FznVR8gSrwDIWgEGZOh34Twr6cbNBLSerkJzS_b4g&dib_tag=se&keywords=laptop&qid=1751792218&sprefix=laptop%2Caps%2C205&sr=8-6&xpid=HcM-_OC8u0A4U
2,"enovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Lapto","70,990","95,890",https://www.amazon.in/Lenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN/dp/B0CX8XPKWJ/ref=sr_1_68?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YBsir_UVbP0UGFjsmKrsgJ-MgQzXotAQ42WMlRGs8_axfmAIzF3cQusJYJKAFSUOJ60zj7Ueislxfw0hGbLvlOZCXDfHEuPCh7LNDZy_zB-5adI4Gw-7MUPlKsJ-XZcD8sowux24cML2GqK3twMtzGgHd8aeLj5iRZGBkpew2Vp8VBESnhjIANXXCkL4H4UY9ky6n4MylYYrmPzHOw4gnWb-R_Gc_geFokxccMysc9Q.RygCjqbQtK0sw0lr7rGZXFWVZ2i_1niPKg0PRCtUd1I&dib_tag=se&keywords=laptop&qid=1751792246&sprefix=laptop%2Caps%2C205&sr=8-68&xpid=HcM-_OC8u0A4U
3,"enovo Ideapad 1 AMD Ryzen 5 5625U (16GB RAM/512GB SSD/Windows 11/Office Home 2024/15.6 Inch (39.6Cm)/FHD IPS Display/3Months Game Pass/Grey/1.6Kg), 82R4011CIN/0DIN Lapto","37,990","68,900",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTAyMzQ0MjM5NzIxNjkwOjE3NTE3OTIyNDY6c3BfYnRmOjMwMDUyNTIwMjYzMTEzMjo6MDo6&url=%2FLenovo-Ideapad-Windows-Display-82R4011CIN%2Fdp%2FB0DT3SBQM7%2Fref%3Dsr_1_69_sspa%3Fcrid%3D1SRYYZVB0V5DC%26dib%3DeyJ2IjoiMSJ9.YBsir_UVbP0UGFjsmKrsgJ-MgQzXotAQ42WMlRGs8_axfmAIzF3cQusJYJKAFSUOJ60zj7Ueislxfw0hGbLvlOZCXDfHEuPCh7LNDZy_zB-5adI4Gw-7MUPlKsJ-XZcD8sowux24cML2GqK3twMtzGgHd8aeLj5iRZGBkpew2Vp8VBESnhjIANXXCkL4H4UY9ky6n4MylYYrmPzHOw4gnWb-R_Gc_geFokxccMysc9Q.RygCjqbQtK0sw0lr7rGZXFWVZ2i_1niPKg0PRCtUd1I%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751792246%26sprefix%3Dlaptop%252Caps%252C205%26sr%3D8-69-spons%26xpid%3DHcM-_OC8u0A4U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB
4,"cer Professional 14, AMD Ryzen 3-7330U, 16GB RAM, 512GB SSD, 14"" Full HD,UHD Graphics, Premium Metal Body, Windows 11 Pro, MSO 21, 1.34KG, Travel Lite, TL14-42M, Light Lapto","32,990","49,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTAyMzQ0MjM5NzIxNjkwOjE3NTE3OTIyNDY6c3BfYnRmOjMwMDU1MTQ2NDA0MTAzMjo6MDo6&url=%2Facer-Professional-3-7330U-Graphics-TL14-42M%2Fdp%2FB0F6MY3GDD%2Fref%3Dsr_1_70_sspa%3Fcrid%3D1SRYYZVB0V5DC%26dib%3DeyJ2IjoiMSJ9.YBsir_UVbP0UGFjsmKrsgJ-MgQzXotAQ42WMlRGs8_axfmAIzF3cQusJYJKAFSUOJ60zj7Ueislxfw0hGbLvlOZCXDfHEuPCh7LNDZy_zB-5adI4Gw-7MUPlKsJ-XZcD8sowux24cML2GqK3twMtzGgHd8aeLj5iRZGBkpew2Vp8VBESnhjIANXXCkL4H4UY9ky6n4MylYYrmPzHOw4gnWb-R_Gc_geFokxccMysc9Q.RygCjqbQtK0sw0lr7rGZXFWVZ2i_1niPKg0PRCtUd1I%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751792246%26sprefix%3Dlaptop%252Caps%252C205%26sr%3D8-70-spons%26xpid%3DHcM-_OC8u0A4U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB
5,"P 15, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver,1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Lapto","55,990","72,112",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzg4ODMzNjU4NzIxMjYwOjE3NTE3OTIyNTQ6c3BfYXRmX25leHQ6MzAwNTU5NjYxMTA1ODMyOjowOjo&url=%2FHP-i5-1335U-Anti-Glare-Micro-Edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_65_sspa%3Fcrid%3D1SRYYZVB0V5DC%26dib%3DeyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751792254%26sprefix%3Dlaptop%252Caps%252C205%26sr%3D8-65-spons%26xpid%3DHcM-_OC8u0A4U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB
6,"word 16 HX, Intel 14th Gen. i7-14700HX, 41CM 16:10 FHD+ 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4050, GDDR6 6GB /Cosmos Gray/2.3Kg), 14VEKG-210I","1,14,990","1,39,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNzg4ODMzNjU4NzIxMjYwOjE3NTE3OTIyNTQ6c3BfYXRmX25leHQ6MzAwNjE1Mzg5ODE1MzMyOjowOjo&url=%2FMSI-Sword-Intel-14th-i7-14700HX%2Fdp%2FB0CXDDWT7D%2Fref%3Dsr_1_66_sspa%3Fcrid%3D1SRYYZVB0V5DC%26dib%3DeyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751792254%26sprefix%3Dlaptop%252Caps%252C205%26sr%3D8-66-spons%26xpid%3DHcM-_OC8u0A4U%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB
7,"P Pavilion 16 AI Laptop, Intel Core Ultra 5 125U (14th Generation) 16 GB LPDDR5,1TB SSD,16-inch (40 cm), WUXGA, 300 nits, 1080p FHD IR Camera, Backlit Kb, (Win11+Office, Silver, 1.77 kg) 16-af0056T","63,990","92,083",https://www.amazon.in/HP-Pavilion-16-inch-Graphics-16-af0056TU/dp/B0DGX6TGRS/ref=sr_1_67?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-67&xpid=HcM-_OC8u0A4U
8,"enovo {Smartchoice) Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 256 GB ROM| 11.5 Inch, 2K, 90 Hz Refresh| Wi-Fi Tablet| Android 14| 45 W Fast Charger| Built-in Kickstand| Color: Luna Gre","20,998","34,000",https://www.amazon.in/Lenovo-Speakers-Refresh-Android-Kickstand/dp/B0D6G4SKGK/ref=sr_1_68?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-68&xpid=HcM-_OC8u0A4U
9,"ooyo GY1041 Plug & Play Notebook Computer Toy with 30 Fun Activities | Educational Toy Laptop for Kids | Grey Color, Dual Power Supply Source: Micro USB Cable (Included) & 3xAA Battery (Not Included","1,799","2,999",https://www.amazon.in/Gooyo-GY1041-Notebook-Activities-Educational/dp/B0F21PWQ79/ref=sr_1_69?crid=1SRYYZVB0V5DC&dib=eyJ2IjoiMSJ9.YQcBPCKWo0VWLQye2tSREplOFeFW7zumYIOzohy8egzA4r9jxdQo33cFfEqfP6qn_PzP1tOR5CI6iAUKKMODbij5Tn3g72SKxDfqckydznR9KfIVlR7yGL1nhPcFazvKykxuctY0LM29bKC-rIyLdIft29eWepqRUeKn7vvoYnvOcCw9cnJf6bdK2qy29V64UbZhhKfNWN4yZtQ5mWSheVXRQaGJCDnAW5K5ST-Ugg4.C1w2ez9nYh6t5aY05_6lNUFRcHHTzF1seV0bcrQTZ0o&dib_tag=se&keywords=laptop&qid=1751792254&sprefix=laptop%2Caps%2C205&sr=8-69&xpid=HcM-_OC8u0A4U
