,Name,Rating,link
0,Rosellia Banquets & Suites,4.5,https://www.google.com/maps/place/Rosellia+Banquets+%26+Suites/data=!4m10!3m9!1s0x390cfbe28a55dd63:0x7b64684258d57658!5m2!4m1!1i2!8m2!3d28.6589271!4d77.3670153!16s%2Fg%2F11szk37_lk!19sChIJY91ViuL7DDkRWHbVWEJoZHs?authuser=0&hl=en&rclk=1
1,"Orchid Farms | Best Banquet Hall in Indirapuram, Ghaziabad",4.5,"https://www.google.com/maps/place/Orchid+Farms+%7C+Best+Banquet+Hall+in+Indirapuram,+Ghaziabad/data=!4m7!3m6!1s0x390cfb6ebd41f61f:0xfe244fe9db2563c1!8m2!3d28.6520405!4d77.3781783!16s%2Fg%2F11rq2gs09r!19sChIJH_ZBvW77DDkRwWMl2-lPJP4?authuser=0&hl=en&rclk=1"
2,Wow Palace Banquet | Best Banquet in indirapuram Ghaziabad,4.0,https://www.google.com/maps/place/Wow+Palace+Banquet+%7C+Best+Banquet+in+indirapuram+Ghaziabad/data=!4m7!3m6!1s0x390cf139d870b6ed:0xb0b292830de64673!8m2!3d28.647635!4d77.378784!16s%2Fg%2F11nz1nq27r!19sChIJ7bZw2DnxDDkRc0bmDYOSsrA?authuser=0&hl=en&rclk=1
3,The Grand Piazza,4.4,https://www.google.com/maps/place/The+Grand+Piazza/data=!4m7!3m6!1s0x390cf00821d7bd1b:0x87975605b82e3fcd!8m2!3d28.6515193!4d77.3781642!16s%2Fg%2F1vm78v89!19sChIJG73XIQjwDDkRzT8uuAVWl4c?authuser=0&hl=en&rclk=1
4,The Royal Palace,3.7,https://www.google.com/maps/place/The+Royal+Palace/data=!4m7!3m6!1s0x390cfabb99b4f21b:0x96c1284b10d5199b!8m2!3d28.653141!4d77.3633214!16s%2Fg%2F11gzqtn1k!19sChIJG_K0mbv6DDkRmxnVEEsowZY?authuser=0&hl=en&rclk=1
5,Elara Banquets Hall,4.3,https://www.google.com/maps/place/Elara+Banquets+Hall/data=!4m7!3m6!1s0x390cfb3ec7605e41:0x430a9f9871d277ed!8m2!3d28.6668859!4d77.3821508!16s%2Fg%2F11f61gp0c7!19sChIJQV5gxz77DDkR7XfScZifCkM?authuser=0&hl=en&rclk=1
6,5 Seas Hotel And Banquet,3.9,https://www.google.com/maps/place/5+Seas+Hotel+And+Banquet/data=!4m7!3m6!1s0x390cfaa0ee2449e5:0xc62f61de5b33fabf!8m2!3d28.6579095!4d77.3763803!16s%2Fg%2F11g6x8rt_2!19sChIJ5Ukk7qD6DDkRv_ozW95hL8Y?authuser=0&hl=en&rclk=1
7,KBC Banquet,4.5,https://www.google.com/maps/place/KBC+Banquet/data=!4m7!3m6!1s0x390cfb31d4555555:0x76560f1703571b7b!8m2!3d28.6414466!4d77.3215379!16s%2Fg%2F11ty4_8z39!19sChIJVVVV1DH7DDkRextXAxcPVnY?authuser=0&hl=en&rclk=1
8,Exotic Garden Farm house | Banquet hall & Marriage hall in Ghaziabad,4.1,https://www.google.com/maps/place/Exotic+Garden+Farm+house+%7C+Banquet+hall+%26+Marriage+hall+in+Ghaziabad/data=!4m7!3m6!1s0x390cf00a068e0eb1:0xfcca411766f7d845!8m2!3d28.6565159!4d77.378049!16s%2Fg%2F119ww2r73!19sChIJsQ6OBgrwDDkRRdj3ZhdByvw?authuser=0&hl=en&rclk=1
9,"Vintage Banquet | Banquet Hall In Vasundhara , Indrapuram",4.2,"https://www.google.com/maps/place/Vintage+Banquet+%7C+Banquet+Hall+In+Vasundhara+,+Indrapuram/data=!4m7!3m6!1s0x390cfbf33d0a281d:0x9e4859be8c269f4a!8m2!3d28.6603021!4d77.3697048!16s%2Fg%2F11t58rx59y!19sChIJHSgKPfP7DDkRSp8mjL5ZSJ4?authuser=0&hl=en&rclk=1"
10,New Shri Durga Palace Banquet,3.7,https://www.google.com/maps/place/New+Shri+Durga+Palace+Banquet/data=!4m7!3m6!1s0x390cfabb9becb37b:0xb32feac758357b05!8m2!3d28.6527679!4d77.3635591!16s%2Fg%2F1hc2fqst2!19sChIJe7Psm7v6DDkRBXs1WMfqL7M?authuser=0&hl=en&rclk=1
11,The Royal Events & Banquets,4.8,https://www.google.com/maps/place/The+Royal+Events+%26+Banquets/data=!4m7!3m6!1s0x390cfbda473818b9:0x8ae248d3cd75117f!8m2!3d28.6470989!4d77.3740044!16s%2Fg%2F11tk8cz2cn!19sChIJuRg4R9r7DDkRfxF1zdNI4oo?authuser=0&hl=en&rclk=1
12,MI GARDENS BEST BANQUET & WEDDING VENUE,4.0,https://www.google.com/maps/place/MI+GARDENS+BEST+BANQUET+%26+WEDDING+VENUE/data=!4m7!3m6!1s0x390cfaa345b2b76f:0xad1a54781c77e0e5!8m2!3d28.6557446!4d77.3677129!16s%2Fg%2F11b76lhx_r!19sChIJb7eyRaP6DDkR5eB3HHhUGq0?authuser=0&hl=en&rclk=1
13,"ROYAL AMBIENCE PARTY LAWN , INDIRAPURAM",4.4,"https://www.google.com/maps/place/ROYAL+AMBIENCE+PARTY+LAWN+,+INDIRAPURAM/data=!4m7!3m6!1s0x390cfb86f078454f:0x551e6810c1e33556!8m2!3d28.6533025!4d77.3777306!16s%2Fg%2F11pckk63_8!19sChIJT0V48Ib7DDkRVjXjwRBoHlU?authuser=0&hl=en&rclk=1"
14,Vasundhara Farm The Party Lawn,4.4,https://www.google.com/maps/place/Vasundhara+Farm+The+Party+Lawn/data=!4m7!3m6!1s0x390cfb107e07fb43:0x9500ee1ca07cde01!8m2!3d28.6642852!4d77.3719232!16s%2Fg%2F11gnt121mg!19sChIJQ_sHfhD7DDkRAd58oBzuAJU?authuser=0&hl=en&rclk=1
15,Mannat Grand,4.5,https://www.google.com/maps/place/Mannat+Grand/data=!4m7!3m6!1s0x390cfbd9d6a8a909:0xc5c6ca8b9c79c00e!8m2!3d28.6615786!4d77.374157!16s%2Fg%2F11wwvbhy1d!19sChIJCamo1tn7DDkRDsB5nIvKxsU?authuser=0&hl=en&rclk=1
16,Satyam Farm House and Marriage Hall,4.1,https://www.google.com/maps/place/Satyam+Farm+House+and+Marriage+Hall/data=!4m7!3m6!1s0x390cfaa0b1951423:0xdc52073bd73bd81a!8m2!3d28.656252!4d77.3772803!16s%2Fg%2F1yh9tvh9j!19sChIJIxSVsaD6DDkRGtg71zsHUtw?authuser=0&hl=en&rclk=1
17,3G Celebration Banquet,4.2,https://www.google.com/maps/place/3G+Celebration+Banquet/data=!4m7!3m6!1s0x390cfaa91208243d:0x2f02938e57414b17!8m2!3d28.6457525!4d77.3750556!16s%2Fg%2F11c59v0wjw!19sChIJPSQIEqn6DDkRF0tBV46TAi8?authuser=0&hl=en&rclk=1
18,Golden Moments | Best Banquet Hall in Vasundhara,4.8,https://www.google.com/maps/place/Golden+Moments+%7C+Best+Banquet+Hall+in+Vasundhara/data=!4m7!3m6!1s0x390cfbc543f2b86d:0x6dae95167f29ddae!8m2!3d28.6599981!4d77.3567687!16s%2Fg%2F11trnxh004!19sChIJbbjyQ8X7DDkRrt0pfxaVrm0?authuser=0&hl=en&rclk=1
19,Grand Milan Banquets,4.1,https://www.google.com/maps/place/Grand+Milan+Banquets/data=!4m7!3m6!1s0x390cfbc5f80fe7db:0xddb620bb8c4f2308!8m2!3d28.639894!4d77.326518!16s%2Fg%2F11hzxbvhl9!19sChIJ2-cP-MX7DDkRCCNPjLsgtt0?authuser=0&hl=en&rclk=1
20,Sandal Tree By SK,4.6,https://www.google.com/maps/place/Sandal+Tree+By+SK/data=!4m7!3m6!1s0x390cfb216fdc08b1:0xd2c1f28e7b10ee00!8m2!3d28.6529499!4d77.3252847!16s%2Fg%2F11c3881vxb!19sChIJsQjcbyH7DDkRAO4Qe47ywdI?authuser=0&hl=en&rclk=1
21,The Grand Palace Rooms & Banquets,4.0,https://www.google.com/maps/place/The+Grand+Palace+Rooms+%26+Banquets/data=!4m7!3m6!1s0x390cfb68ed6ff119:0xb10e476eb1e5ca6e!8m2!3d28.6470817!4d77.3742258!16s%2Fg%2F11y7sh_pbg!19sChIJGfFv7Wj7DDkRbsrlsW5HDrE?authuser=0&hl=en&rclk=1
22,Madhuvan Party Lawn,4.4,https://www.google.com/maps/place/Madhuvan+Party+Lawn/data=!4m7!3m6!1s0x390cf15085e0b6c9:0x89c35c2c166cac67!8m2!3d28.6619523!4d77.390835!16s%2Fg%2F11rtmzp8vj!19sChIJybbghVDxDDkRZ6xsFixcw4k?authuser=0&hl=en&rclk=1
23,The Velvet Banquet,4.1,https://www.google.com/maps/place/The+Velvet+Banquet/data=!4m7!3m6!1s0x390cfb1b9ce4c1cd:0xcd925fe6cdcb082f!8m2!3d28.6476097!4d77.368816!16s%2Fg%2F11cnx9_nfy!19sChIJzcHknBv7DDkRLwjLzeZfks0?authuser=0&hl=en&rclk=1
24,Pearl Green banquet ghaziabad,3.7,https://www.google.com/maps/place/Pearl+Green+banquet+ghaziabad/data=!4m7!3m6!1s0x390cfac0299218bb:0xea04d91ecd52a257!8m2!3d28.6587989!4d77.3535309!16s%2Fg%2F11g8g31hvs!19sChIJuxiSKcD6DDkRV6JSzR7ZBOo?authuser=0&hl=en&rclk=1
25,Golden Castle Banquets,3.9,https://www.google.com/maps/place/Golden+Castle+Banquets/data=!4m7!3m6!1s0x390cf00042ed1d81:0x8b7986a17f687dd9!8m2!3d28.6406641!4d77.3781098!16s%2Fg%2F11bytmb32g!19sChIJgR3tQgDwDDkR2X1of6GGeYs?authuser=0&hl=en&rclk=1
26,The Great Callina Banquet Hall,3.8,https://www.google.com/maps/place/The+Great+Callina+Banquet+Hall/data=!4m7!3m6!1s0x390cfb210ada103f:0xa872005e4fae2225!8m2!3d28.6701412!4d77.3621341!16s%2Fg%2F11f1vm6mkg!19sChIJPxDaCiH7DDkRJSKuT14Acqg?authuser=0&hl=en&rclk=1
27,Kinsfolk Inn Hotel and Banquet,4.0,https://www.google.com/maps/place/Kinsfolk+Inn+Hotel+and+Banquet/data=!4m7!3m6!1s0x390cf1aeaad7fedb:0x1990fb068efdaee9!8m2!3d28.6656551!4d77.3815341!16s%2Fg%2F11hsr8w8sw!19sChIJ2_7Xqq7xDDkR6a79jgb7kBk?authuser=0&hl=en&rclk=1
28,Red Rose Banquet Hall,3.7,https://www.google.com/maps/place/Red+Rose+Banquet+Hall/data=!4m7!3m6!1s0x390cfaa283228f8b:0xf45ae07e4af54af!8m2!3d28.6605554!4d77.3690928!16s%2Fg%2F11f3458hz0!19sChIJi48ig6L6DDkRr1Sv5AeuRQ8?authuser=0&hl=en&rclk=1
29,Manglam Palace Banquet Vasundhra Sector 10,4.4,https://www.google.com/maps/place/Manglam+Palace+Banquet+Vasundhra+Sector+10/data=!4m7!3m6!1s0x390cfb32f99fe769:0xbfcdf89272cd0554!8m2!3d28.6605471!4d77.3690756!16s%2Fg%2F11p11j91dq!19sChIJaeef-TL7DDkRVAXNcpL4zb8?authuser=0&hl=en&rclk=1
30,Amaatra Banquet Vasundhara,3.8,https://www.google.com/maps/place/Amaatra+Banquet+Vasundhara/data=!4m7!3m6!1s0x390cfb4b4ae5c091:0x369b5658647edf41!8m2!3d28.6583714!4d77.3701453!16s%2Fg%2F11j0nj7kyx!19sChIJkcDlSkv7DDkRQd9-ZFhWmzY?authuser=0&hl=en&rclk=1
31,The Monarch Banquets,4.2,https://www.google.com/maps/place/The+Monarch+Banquets/data=!4m7!3m6!1s0x390cfaace18ec68b:0x9d382221896cf667!8m2!3d28.6392262!4d77.3688199!16s%2Fg%2F11c2pkx6s7!19sChIJi8aO4az6DDkRZ_ZsiSEiOJ0?authuser=0&hl=en&rclk=1
32,Hollywood Dreams,4.5,https://www.google.com/maps/place/Hollywood+Dreams/data=!4m7!3m6!1s0x390cfb0f1b09e0e9:0x7d55c6f380a5c441!8m2!3d28.6497417!4d77.3386759!16s%2Fg%2F11c5qsfl68!19sChIJ6eAJGw_7DDkRQcSlgPPGVX0?authuser=0&hl=en&rclk=1
33,Wow Ceremonial Banquet,4.5,https://www.google.com/maps/place/Wow+Ceremonial+Banquet/data=!4m7!3m6!1s0x390cfb6f8e883a85:0x6a5f60e2e9c41dff!8m2!3d28.6410131!4d77.378388!16s%2Fg%2F11vr_lf0hn!19sChIJhTqIjm_7DDkR_x3E6eJgX2o?authuser=0&hl=en&rclk=1
34,Raj Party Lounge,4.7,https://www.google.com/maps/place/Raj+Party+Lounge/data=!4m7!3m6!1s0x390cfb26d2f4be3f:0x7fc8c18d263c94f6!8m2!3d28.6487004!4d77.3215567!16s%2Fg%2F11bywl1zm_!19sChIJP7700ib7DDkR9pQ8Jo3ByH8?authuser=0&hl=en&rclk=1
35,"The Grand Palace, Banquet Hall (Weddingz.in Partner)",3.6,"https://www.google.com/maps/place/The+Grand+Palace,+Banquet+Hall+%28Weddingz.in+Partner%29/data=!4m7!3m6!1s0x390cfb3ca9ccecad:0xc1214b861604bf01!8m2!3d28.6470811!4d77.3742249!16s%2Fg%2F11jj_0zkv4!19sChIJrezMqTz7DDkRAb8EFoZLIcE?authuser=0&hl=en&rclk=1"
36,Golden Castle Party Lawns,4.0,https://www.google.com/maps/place/Golden+Castle+Party+Lawns/data=!4m7!3m6!1s0x390cfa9abbf9ca15:0x405821940d6535d8!8m2!3d28.670995!4d77.3679335!16s%2Fg%2F11c20wczyc!19sChIJFcr5u5r6DDkR2DVlDZQhWEA?authuser=0&hl=en&rclk=1
37,Miraya Banquet,4.3,https://www.google.com/maps/place/Miraya+Banquet/data=!4m7!3m6!1s0x390cfadd0324f8eb:0x9381ba5303e87d35!8m2!3d28.6554365!4d77.341683!16s%2Fg%2F11c7_qwz5q!19sChIJ6_gkA936DDkRNX3oA1O6gZM?authuser=0&hl=en&rclk=1
38,Red Carpet Grand,4.5,https://www.google.com/maps/place/Red+Carpet+Grand/data=!4m7!3m6!1s0x390cf0e5a1cbe537:0xed98b6dab70ef2fc!8m2!3d28.7025909!4d77.4136649!16s%2Fg%2F119vdv80z!19sChIJN-XLoeXwDDkR_PIOt9q2mO0?authuser=0&hl=en&rclk=1
39,The Event Palace,3.9,https://www.google.com/maps/place/The+Event+Palace/data=!4m7!3m6!1s0x390cfbe3b7f5878b:0x455c944353167962!8m2!3d28.6475401!4d77.368773!16s%2Fg%2F11l1d09v1f!19sChIJi4f1t-P7DDkRYnkWU0OUXEU?authuser=0&hl=en&rclk=1
40,White Rose Banquets,4.4,https://www.google.com/maps/place/White+Rose+Banquets/data=!4m7!3m6!1s0x390cfb93631b7ad5:0xe11aa2a724fa73bc!8m2!3d28.656019!4d77.3508414!16s%2Fg%2F11j418fcvq!19sChIJ1XobY5P7DDkRvHP6JKeiGuE?authuser=0&hl=en&rclk=1
41,Grand Milan Banquet Hall,4.2,https://www.google.com/maps/place/Grand+Milan+Banquet+Hall/data=!4m7!3m6!1s0x390cfb2fa1ee0c67:0xb978980c3aac2a31!8m2!3d28.6450025!4d77.3264734!16s%2Fg%2F1hc2rtnql!19sChIJZwzuoS_7DDkRMSqsOgyYeLk?authuser=0&hl=en&rclk=1
42,Zestin Banquets,4.1,https://www.google.com/maps/place/Zestin+Banquets/data=!4m7!3m6!1s0x390cfaebf950c6ed:0x8fade2eb40115bde!8m2!3d28.6614197!4d77.3344451!16s%2Fg%2F11d_cxt2lb!19sChIJ7cZQ-ev6DDkR3lsRQOvirY8?authuser=0&hl=en&rclk=1
43,The Euphoriya Banquet (Fully AC) - Ghaziabad,4.4,https://www.google.com/maps/place/The+Euphoriya+Banquet+%28Fully+AC%29+-+Ghaziabad/data=!4m7!3m6!1s0x390cf122fab2a705:0xa6d8caa0121b4dab!8m2!3d28.6760301!4d77.4253627!16s%2Fg%2F11kpdbcjr7!19sChIJBaey-iLxDDkRq00bEqDK2KY?authuser=0&hl=en&rclk=1
44,"The Grand Paris | Best Banquet Hall in Sahibabad, Ghaziabad",4.3,"https://www.google.com/maps/place/The+Grand+Paris+%7C+Best+Banquet+Hall+in+Sahibabad,+Ghaziabad/data=!4m7!3m6!1s0x390cfb71820333f1:0x9db6c56c3548a840!8m2!3d28.6610478!4d77.3548285!16s%2Fg%2F11j5cf8tz7!19sChIJ8TMDgnH7DDkRQKhINWzFtp0?authuser=0&hl=en&rclk=1"
45,Silver Spoons,4.5,https://www.google.com/maps/place/Silver+Spoons/data=!4m7!3m6!1s0x390cfa8b5197f0f7:0x6c64b62ffdf15cef!8m2!3d28.6556429!4d77.3503043!16s%2Fg%2F11dxlbcnfx!19sChIJ9_CXUYv6DDkR71zx_S-2ZGw?authuser=0&hl=en&rclk=1
46,SONEX BANQUET,4.8,https://www.google.com/maps/place/SONEX+BANQUET/data=!4m7!3m6!1s0x390cfb9d87bb5afd:0x7647319066bd1b92!8m2!3d28.6667528!4d77.3904818!16s%2Fg%2F11kc2nm776!19sChIJ_Vq7h537DDkRkhu9ZpAxR3Y?authuser=0&hl=en&rclk=1
47,Ambrosia Palace,4.4,https://www.google.com/maps/place/Ambrosia+Palace/data=!4m7!3m6!1s0x390cfb2a97d74a05:0xc904b013aec79759!8m2!3d28.6409111!4d77.3359438!16s%2Fg%2F11fk0ls872!19sChIJBUrXlyr7DDkRWZfHrhOwBMk?authuser=0&hl=en&rclk=1
